ts_et,symbol,open,high,low,close,volume
2026-08-10 03:15:00,VIX,15.4,15.42,15.39,15.42,0
2026-08-10 03:30:00,VIX,15.42,15.44,15.41,15.43,0
2026-08-10 03:45:00,VIX,15.43,15.46,15.43,15.46,0
2026-08-10 04:00:00,QQQ,725.998,726.6288,723.94,726.17,0
2026-08-10 04:00:00,TQQQ,75.38,75.6,74.75,75.45,0
2026-08-10 04:00:00,VIX,15.46,15.49,15.45,15.48,0
2026-08-10 04:15:00,QQQ,726.17,726.4485,725.6787,725.95,0
2026-08-10 04:15:00,TQQQ,75.46,75.52,75.29,75.37,0
2026-08-10 04:15:00,VIX,15.48,15.48,15.47,15.48,0
2026-08-10 04:30:00,QQQ,726.0082,726.42,725.77,726.0088,0
2026-08-10 04:30:00,TQQQ,75.3721,75.51,75.31,75.381,0
2026-08-10 04:30:00,VIX,15.48,15.48,15.46,15.47,0
2026-08-10 04:45:00,QQQ,726.0082,726.49,725.89,726.4287,0
2026-08-10 04:45:00,TQQQ,75.4,75.54,75.3535,75.51,0
2026-08-10 04:45:00,VIX,15.47,15.48,15.46,15.46,0
2026-08-10 05:00:00,QQQ,726.4,726.71,726.3265,726.52,0
2026-08-10 05:00:00,TQQQ,75.5295,75.6135,75.49,75.56,0
2026-08-10 05:00:00,VIX,15.46,15.46,15.44,15.44,0
2026-08-10 05:15:00,QQQ,726.61,726.69,726.29,726.36,0
2026-08-10 05:15:00,TQQQ,75.56,75.6,75.47,75.5,0
2026-08-10 05:15:00,VIX,15.44,15.45,15.43,15.43,0
2026-08-10 05:30:00,QQQ,726.2885,726.41,725.62,725.79,0
2026-08-10 05:30:00,TQQQ,75.5065,75.51,75.26,75.3,0
2026-08-10 05:30:00,VIX,15.43,15.44,15.42,15.43,0
2026-08-10 05:45:00,QQQ,725.74,725.9682,725.6,725.66,0
2026-08-10 05:45:00,TQQQ,75.32,75.37,75.261,75.28,0
2026-08-10 05:45:00,VIX,15.43,15.43,15.43,15.43,0
2026-08-10 06:00:00,QQQ,725.6682,726.12,725.1044,725.1044,0
2026-08-10 06:00:00,TQQQ,75.27,75.42,75.11,75.11,0
2026-08-10 06:00:00,VIX,15.43,15.48,15.43,15.48,0
2026-08-10 06:15:00,QQQ,725.11,725.9193,725.08,725.75,0
2026-08-10 06:15:00,TQQQ,75.12,75.37,75.11,75.33,0
2026-08-10 06:15:00,VIX,15.48,15.48,15.45,15.45,0
2026-08-10 06:30:00,QQQ,725.78,725.81,724.999,725.16,0
2026-08-10 06:30:00,TQQQ,75.31,75.32,75.07,75.12,0
2026-08-10 06:30:00,VIX,15.45,15.46,15.45,15.46,0
2026-08-10 06:45:00,QQQ,725.21,725.6488,724.96,725.02,0
2026-08-10 06:45:00,TQQQ,75.13,75.27,75.06,75.07,0
2026-08-10 06:45:00,VIX,15.46,15.46,15.44,15.45,0
2026-08-10 07:00:00,QQQ,725.02,725.3102,723.03,724.111,0
2026-08-10 07:00:00,TQQQ,75.08,75.1607,74.64,74.8199,0
2026-08-10 07:00:00,VIX,15.45,15.48,15.45,15.48,0
2026-08-10 07:15:00,QQQ,724.11,724.96,723.8821,724.9499,0
2026-08-10 07:15:00,TQQQ,74.81,75.07,74.7306,75.06,0
2026-08-10 07:15:00,VIX,15.48,15.48,15.45,15.45,0
2026-08-10 07:30:00,QQQ,724.93,725.06,724.01,724.12,0
2026-08-10 07:30:00,TQQQ,75.04,75.09,74.78,74.79,0
2026-08-10 07:30:00,VIX,15.44,15.45,15.43,15.45,0
2026-08-10 07:45:00,QQQ,724.1217,724.3122,723.38,723.95,0
2026-08-10 07:45:00,TQQQ,74.79,74.86,74.58,74.77,0
2026-08-10 07:45:00,VIX,15.45,15.46,15.44,15.44,0
2026-08-10 08:00:00,QQQ,723.89,724.32,722.488,723.355,0
2026-08-10 08:00:00,TQQQ,74.76,74.86,74.5765,74.5779,0
2026-08-10 08:00:00,VIX,15.44,15.46,15.44,15.46,0
2026-08-10 08:15:00,QQQ,723.36,723.4,722.53,722.7501,0
2026-08-10 08:15:00,TQQQ,74.58,74.59,74.32,74.41,0
2026-08-10 08:15:00,VIX,15.46,15.47,15.39,15.39,0
2026-08-10 08:30:00,QQQ,722.78,722.8617,721.8893,722.47,0
2026-08-10 08:30:00,TQQQ,74.4,74.43,74.12,74.28,0
2026-08-10 08:30:00,VIX,15.39,15.43,15.39,15.42,0
2026-08-10 08:45:00,QQQ,722.4235,723.03,721.61,721.7888,0
2026-08-10 08:45:00,TQQQ,74.2799,74.31,74.03,74.0785,0
2026-08-10 08:45:00,VIX,15.42,15.44,15.41,15.43,0
2026-08-10 09:00:00,QQQ,721.788,722.62,721.6121,722.36,0
2026-08-10 09:00:00,TQQQ,74.07,74.35,74.0316,74.28,0
2026-08-10 09:00:00,VIX,15.43,15.43,15.41,15.42,0
2026-08-10 09:15:00,QQQ,722.3321,722.82,722.08,722.37,0
2026-08-10 09:15:00,TQQQ,74.27,74.42,74.18,74.28,0
2026-08-10 09:15:00,VIX,15.42,15.45,15.41,15.44,0
2026-08-10 09:30:00,QQQ,722.650024,723.25,720.340027,721.690002,2930958
2026-08-10 09:30:00,TQQQ,74.290001,74.540001,73.644997,74.07,10923913
2026-08-10 09:30:00,VIX,15.4,15.4,15.23,15.24,0
2026-08-10 09:45:00,QQQ,721.719971,723.059998,721.200012,722.469971,1515646
2026-08-10 09:45:00,TQQQ,74.040001,74.480003,73.904999,74.300003,3719332
2026-08-10 09:45:00,VIX,15.25,15.25,15.14,15.17,0
2026-08-10 10:00:00,QQQ,722.469971,724.505005,722.039978,724.23999,1974285
2026-08-10 10:00:00,TQQQ,74.290001,74.93,74.160004,74.849998,3143009
2026-08-10 10:00:00,VIX,15.16,15.23,15.15,15.23,0
2026-08-10 10:15:00,QQQ,724.234985,724.669983,722.640015,723.669983,915455
2026-08-10 10:15:00,TQQQ,74.849899,74.980003,74.349998,74.675003,2119215
2026-08-10 10:15:00,VIX,15.23,15.25,15.23,15.24,0
2026-08-10 10:30:00,QQQ,723.7099,724.52002,723.409973,723.909973,1348163
2026-08-10 10:30:00,TQQQ,74.669998,74.93,74.589996,74.739998,1828120
2026-08-10 10:30:00,VIX,15.25,15.26,15.18,15.18,0
2026-08-10 10:45:00,QQQ,723.890015,724.32251,721.75,721.780029,1200627
2026-08-10 10:45:00,TQQQ,74.735001,74.870003,74.073898,74.084999,2037504
