ts_et,symbol,open,high,low,close,volume
2026-05-29 03:15:00,VIX,15.81,15.85,15.81,15.84,0
2026-05-29 03:30:00,VIX,15.84,15.88,15.84,15.88,0
2026-05-29 03:45:00,VIX,15.88,15.88,15.83,15.83,0
2026-05-29 04:00:00,QQQ,735.92,737.05,734.87,736.08,0
2026-05-29 04:00:00,TQQQ,83.75,84.15,83.41,83.83,0
2026-05-29 04:00:00,VIX,15.83,15.83,15.8,15.82,0
2026-05-29 04:15:00,QQQ,736.17,736.31,735.67,736.12,0
2026-05-29 04:15:00,TQQQ,83.85,83.89,83.69,83.85,0
2026-05-29 04:15:00,VIX,15.82,15.82,15.8,15.81,0
2026-05-29 04:30:00,QQQ,736.18,736.45,736.04,736.05,0
2026-05-29 04:30:00,TQQQ,83.84,83.95,83.7788,83.82,0
2026-05-29 04:30:00,VIX,15.8,15.82,15.8,15.81,0
2026-05-29 04:45:00,QQQ,736.0797,736.29,735.68,736.27,0
2026-05-29 04:45:00,TQQQ,83.82,83.9,83.67,83.87,0
2026-05-29 04:45:00,VIX,15.81,15.81,15.77,15.78,0
2026-05-29 05:00:00,QQQ,736.2782,737.3,736.13,737.3,0
2026-05-29 05:00:00,TQQQ,83.9,84.24,83.84,84.24,0
2026-05-29 05:00:00,VIX,15.79,15.8,15.78,15.8,0
2026-05-29 05:15:00,QQQ,737.26,737.5,735.9388,737.17,0
2026-05-29 05:15:00,TQQQ,84.25,84.31,84.06,84.19,0
2026-05-29 05:15:00,VIX,15.8,15.85,15.8,15.83,0
2026-05-29 05:30:00,QQQ,737.0908,737.17,736.58,736.6,0
2026-05-29 05:30:00,TQQQ,84.18,84.21,83.99,83.99,0
2026-05-29 05:30:00,VIX,15.83,15.85,15.83,15.85,0
2026-05-29 05:45:00,QQQ,736.6,737.02,735.9388,736.64,0
2026-05-29 05:45:00,TQQQ,84.0,84.15,83.99,84.01,0
2026-05-29 05:45:00,VIX,15.85,15.85,15.83,15.84,0
2026-05-29 06:00:00,QQQ,736.61,736.65,735.9,736.2787,0
2026-05-29 06:00:00,TQQQ,84.01,84.03,83.76,83.88,0
2026-05-29 06:00:00,VIX,15.84,15.86,15.84,15.86,0
2026-05-29 06:15:00,QQQ,736.23,736.64,735.8812,736.61,0
2026-05-29 06:15:00,TQQQ,83.87,84.02,83.78,83.995,0
2026-05-29 06:15:00,VIX,15.86,15.87,15.83,15.83,0
2026-05-29 06:30:00,QQQ,736.5,736.95,735.9388,736.8233,0
2026-05-29 06:30:00,TQQQ,84.0,84.13,83.94,84.078,0
2026-05-29 06:30:00,VIX,15.84,15.85,15.84,15.84,0
2026-05-29 06:45:00,QQQ,736.81,737.01,735.9388,736.7759,0
2026-05-29 06:45:00,TQQQ,84.08,84.15,84.03,84.07,0
2026-05-29 06:45:00,VIX,15.84,15.86,15.83,15.84,0
2026-05-29 07:00:00,QQQ,736.77,737.35,735.6,737.3374,0
2026-05-29 07:00:00,TQQQ,84.08,84.28,83.68,84.26,0
2026-05-29 07:00:00,VIX,15.84,15.84,15.79,15.79,0
2026-05-29 07:15:00,QQQ,737.33,737.58,736.6,736.6,0
2026-05-29 07:15:00,TQQQ,84.25,84.3313,83.7788,84.02,0
2026-05-29 07:15:00,VIX,15.78,15.84,15.77,15.84,0
2026-05-29 07:30:00,QQQ,736.68,737.09,736.0806,736.98,0
2026-05-29 07:30:00,TQQQ,84.04,84.18,83.83,84.12,0
2026-05-29 07:30:00,VIX,15.84,15.86,15.8,15.8,0
2026-05-29 07:45:00,QQQ,736.96,737.1393,735.85,737.03,0
2026-05-29 07:45:00,TQQQ,84.11,84.2,83.7402,84.15,0
2026-05-29 07:45:00,VIX,15.8,15.83,15.78,15.8,0
2026-05-29 08:00:00,QQQ,736.99,737.0,735.9388,736.35,0
2026-05-29 08:00:00,TQQQ,84.15,84.15,83.8779,83.9201,0
2026-05-29 08:00:00,VIX,15.8,15.82,15.8,15.81,0
2026-05-29 08:15:00,QQQ,736.32,736.65,735.9388,736.52,0
2026-05-29 08:15:00,TQQQ,83.9297,84.02,83.8502,83.9701,0
2026-05-29 08:15:00,VIX,15.81,15.81,15.78,15.78,0
2026-05-29 08:30:00,QQQ,736.55,736.63,735.75,736.33,0
2026-05-29 08:30:00,TQQQ,83.98,84.0102,83.72,83.93,0
2026-05-29 08:30:00,VIX,15.78,15.81,15.77,15.77,0
2026-05-29 08:45:00,QQQ,736.326,737.02,735.6,737.0,0
2026-05-29 08:45:00,TQQQ,83.92,84.15,83.82,84.14,0
2026-05-29 08:45:00,VIX,15.77,15.78,15.71,15.71,0
2026-05-29 09:00:00,QQQ,737.005,737.38,701.3399,736.93,0
2026-05-29 09:00:00,TQQQ,84.15,84.26,84.09,84.11,0
2026-05-29 09:00:00,VIX,15.71,15.71,15.69,15.71,0
2026-05-29 09:15:00,QQQ,736.935,737.81,736.69,737.8,0
2026-05-29 09:15:00,TQQQ,84.105,84.41,83.7788,84.41,0
2026-05-29 09:15:00,VIX,15.71,15.71,15.69,15.7,0
2026-05-29 09:30:00,QQQ,737.710083,739.780029,737.429993,739.780029,3825438
2026-05-29 09:30:00,TQQQ,84.419998,85.079201,84.280098,85.079201,10447633
2026-05-29 09:30:00,VIX,15.7,15.71,15.6,15.6,0
2026-05-29 09:45:00,QQQ,739.789978,741.21991,739.580017,741.190002,1488864
2026-05-29 09:45:00,TQQQ,85.080002,85.57,85.010002,85.565002,3357540
2026-05-29 09:45:00,VIX,15.59,15.64,15.54,15.6,0
2026-05-29 10:00:00,QQQ,741.169983,741.609985,739.419983,739.75,2009839
2026-05-29 10:00:00,TQQQ,85.559998,85.699997,84.949997,85.090103,3214325
2026-05-29 10:00:00,VIX,15.59,15.63,15.55,15.59,0
2026-05-29 10:15:00,QQQ,739.789978,739.849976,737.039978,738.5,2594555
2026-05-29 10:15:00,TQQQ,85.084999,85.110001,84.139999,84.654999,4606315
2026-05-29 10:15:00,VIX,15.59,15.74,15.59,15.68,0
2026-05-29 10:30:00,QQQ,738.48999,739.27002,735.719971,735.809998,2131911
2026-05-29 10:30:00,TQQQ,84.652199,84.919998,83.690002,83.714996,4933202
2026-05-29 10:30:00,VIX,15.68,15.75,15.6,15.74,0
2026-05-29 10:45:00,QQQ,735.809998,738.280029,735.25,737.450012,2877930
2026-05-29 10:45:00,TQQQ,83.700104,84.57,83.529999,84.309998,6314206
2026-05-29 10:45:00,VIX,15.74,15.77,15.54,15.59,0
2026-05-29 11:00:00,QQQ,737.450012,739.119995,736.914978,739.059998,920161
2026-05-29 11:00:00,TQQQ,84.300003,84.860001,84.120003,84.839897,2810293
2026-05-29 11:00:00,VIX,15.59,15.66,15.5,15.51,0
2026-05-29 11:15:00,QQQ,739.054993,739.349976,737.405029,738.320007,855821
2026-05-29 11:15:00,TQQQ,84.839996,84.937401,84.25,84.580002,2616960
2026-05-29 11:15:00,VIX,15.5,15.54,15.41,15.41,0
2026-05-29 11:30:00,QQQ,738.320007,738.859985,737.549988,737.820007,696949
2026-05-29 11:30:00,TQQQ,84.589996,84.769997,84.32,84.429703,1819782
2026-05-29 11:30:00,VIX,15.45,15.45,15.35,15.42,0
2026-05-29 11:45:00,QQQ,737.830017,738.299988,737.299988,737.469971,526642
2026-05-29 11:45:00,TQQQ,84.419998,84.579803,84.25,84.300003,1275937
2026-05-29 11:45:00,VIX,15.39,15.42,15.37,15.41,0
2026-05-29 12:00:00,QQQ,737.48999,739.538025,737.419983,739.265015,721604
2026-05-29 12:00:00,TQQQ,84.310799,85.0,84.279999,84.915001,1883715
2026-05-29 12:00:00,VIX,15.42,15.42,15.3,15.37,0
2026-05-29 12:15:00,QQQ,739.27002,739.530029,738.418579,738.48999,653742
2026-05-29 12:15:00,TQQQ,84.915001,85.0,84.620003,84.630096,1093636
2026-05-29 12:15:00,VIX,15.37,15.4,15.35,15.38,0
2026-05-29 12:30:00,QQQ,738.494995,739.530029,738.059998,738.929993,676202
2026-05-29 12:30:00,TQQQ,84.625,84.989998,84.5,84.785004,2174400
2026-05-29 12:30:00,VIX,15.38,15.4,15.24,15.24,0
2026-05-29 12:45:00,QQQ,738.940002,739.033508,737.830017,738.349976,396659
2026-05-29 12:45:00,TQQQ,84.794998,84.828499,84.410004,84.599197,893758
2026-05-29 12:45:00,VIX,15.24,15.31,15.24,15.29,0
2026-05-29 13:00:00,QQQ,738.349976,738.655029,737.919983,738.195007,597498
2026-05-29 13:00:00,TQQQ,84.592499,84.709999,84.449997,84.544998,768690
2026-05-29 13:00:00,VIX,15.3,15.31,15.27,15.29,0
2026-05-29 13:15:00,QQQ,738.234985,738.380005,737.320007,737.630005,628703
2026-05-29 13:15:00,TQQQ,84.555,84.599998,84.25,84.339996,1243919
2026-05-29 13:15:00,VIX,15.29,15.33,15.26,15.27,0
2026-05-29 13:30:00,QQQ,737.630005,737.815002,736.97998,737.13501,462856
2026-05-29 13:30:00,TQQQ,84.345001,84.419998,84.120003,84.18,1159780
2026-05-29 13:30:00,VIX,15.28,15.28,15.22,15.28,0
2026-05-29 13:45:00,QQQ,737.130005,737.429993,735.880005,735.98999,863430
2026-05-29 13:45:00,TQQQ,84.171097,84.2799,83.752998,83.794998,1517118
2026-05-29 13:45:00,VIX,15.28,15.46,15.27,15.46,0
2026-05-29 14:00:00,QQQ,736.039978,737.549988,735.780029,736.960022,1368952
2026-05-29 14:00:00,TQQQ,83.800003,84.328499,83.724998,84.125,1659610
2026-05-29 14:00:00,VIX,15.46,15.47,15.35,15.42,0
2026-05-29 14:15:00,QQQ,736.994995,738.01001,736.650024,737.869995,563572
2026-05-29 14:15:00,TQQQ,84.129997,84.470001,84.014999,84.434998,1152034
2026-05-29 14:15:00,VIX,15.4,15.41,15.3,15.31,0
2026-05-29 14:30:00,QQQ,737.859985,738.409973,737.559998,738.0,602899
2026-05-29 14:30:00,TQQQ,84.440002,84.620003,84.330002,84.474998,1242396
2026-05-29 14:30:00,VIX,15.3,15.3,15.23,15.27,0
2026-05-29 14:45:00,QQQ,737.999084,737.999084,736.35498,736.534973,896928
2026-05-29 14:45:00,TQQQ,84.4701,84.480003,83.910004,83.964996,1715579
2026-05-29 14:45:00,VIX,15.3,15.55,15.3,15.45,0
2026-05-29 15:00:00,QQQ,736.52002,737.590027,736.309998,737.48999,1026464
2026-05-29 15:00:00,TQQQ,83.970001,84.339996,83.904999,84.309998,984988
2026-05-29 15:00:00,VIX,15.47,15.48,15.41,15.42,0
2026-05-29 15:15:00,QQQ,737.460022,737.919983,736.98999,737.859985,1060739
2026-05-29 15:15:00,TQQQ,84.290001,84.449997,84.130096,84.425003,975309
2026-05-29 15:15:00,VIX,15.41,15.43,15.28,15.3,0
2026-05-29 15:30:00,QQQ,737.869995,739.279175,737.869995,739.02002,1171604
2026-05-29 15:30:00,TQQQ,84.431999,84.900002,84.431999,84.82,1615987
2026-05-29 15:30:00,VIX,15.3,15.42,15.26,15.41,0
2026-05-29 15:45:00,QQQ,739.02002,739.419983,738.224976,738.224976,3431181
2026-05-29 15:45:00,TQQQ,84.82,84.949997,84.540001,84.540001,4645631
2026-05-29 15:45:00,VIX,15.4,15.4,15.31,15.33,0
2026-05-29 16:00:00,QQQ,738.24,738.61,737.6195,738.23,0
2026-05-29 16:00:00,TQQQ,84.56,84.65,84.48,84.5421,0
2026-05-29 16:00:00,VIX,15.34,15.36,15.31,15.34,0
2026-05-29 16:15:00,QQQ,738.29,738.31,737.845,737.99,0
2026-05-29 16:15:00,TQQQ,84.54,84.5405,84.41,84.44,0
2026-05-29 16:30:00,QQQ,738.02,738.17,737.81,737.9495,0
2026-05-29 16:30:00,TQQQ,84.45,84.5119,84.39,84.43,0
2026-05-29 16:45:00,QQQ,737.94,738.28,737.91,738.08,0
2026-05-29 16:45:00,TQQQ,84.44,84.55,84.43,84.49,0
2026-05-29 17:00:00,QQQ,738.08,738.31,737.97,738.055,0
