ts_et,symbol,open,high,low,close,volume
2026-08-14 03:15:00,VIX,14.64,14.65,14.64,14.64,0
2026-08-14 03:30:00,VIX,14.64,14.65,14.64,14.64,0
2026-08-14 03:45:00,VIX,14.63,14.64,14.63,14.64,0
2026-08-14 04:00:00,QQQ,732.2,733.26,730.76,732.75,0
2026-08-14 04:00:00,TQQQ,76.84,77.4901,76.67,77.31,0
2026-08-14 04:00:00,VIX,14.64,14.65,14.64,14.65,0
2026-08-14 04:15:00,QQQ,732.82,733.27,732.6412,732.9972,0
2026-08-14 04:15:00,TQQQ,77.32,77.47,77.27,77.41,0
2026-08-14 04:15:00,VIX,14.65,14.65,14.63,14.63,0
2026-08-14 04:30:00,QQQ,733.108,733.4,732.9898,733.1985,0
2026-08-14 04:30:00,TQQQ,77.4,77.5379,77.39,77.45,0
2026-08-14 04:30:00,VIX,14.63,14.63,14.62,14.62,0
2026-08-14 04:45:00,QQQ,733.18,733.38,732.9987,732.9987,0
2026-08-14 04:45:00,TQQQ,77.45,77.52,77.398,77.4,0
2026-08-14 04:45:00,VIX,14.62,14.62,14.58,14.58,0
2026-08-14 05:00:00,QQQ,732.94,732.9781,732.7303,732.8876,0
2026-08-14 05:00:00,TQQQ,77.4,77.4,77.31,77.38,0
2026-08-14 05:00:00,VIX,14.59,14.59,14.55,14.55,0
2026-08-14 05:15:00,QQQ,732.89,733.23,732.81,733.12,0
2026-08-14 05:15:00,TQQQ,77.37,77.4701,77.36,77.42,0
2026-08-14 05:15:00,VIX,14.55,14.59,14.55,14.59,0
2026-08-14 05:30:00,QQQ,733.1182,733.1182,732.65,732.68,0
2026-08-14 05:30:00,TQQQ,77.42,77.43,77.29,77.31,0
2026-08-14 05:30:00,VIX,14.59,14.59,14.57,14.57,0
2026-08-14 05:45:00,QQQ,732.68,733.3102,732.66,733.31,0
2026-08-14 05:45:00,TQQQ,77.31,77.51,77.3,77.51,0
2026-08-14 05:45:00,VIX,14.57,14.57,14.56,14.56,0
2026-08-14 06:00:00,QQQ,733.3385,733.67,733.28,733.4685,0
2026-08-14 06:00:00,TQQQ,77.52,77.61,77.5,77.5605,0
2026-08-14 06:00:00,VIX,14.57,14.57,14.56,14.56,0
2026-08-14 06:15:00,QQQ,733.4287,733.44,733.02,733.1,0
2026-08-14 06:15:00,TQQQ,77.5484,77.5484,77.4183,77.45,0
2026-08-14 06:15:00,VIX,14.56,14.56,14.56,14.56,0
2026-08-14 06:30:00,QQQ,733.1704,733.3312,733.06,733.3312,0
2026-08-14 06:30:00,TQQQ,77.46,77.5199,77.42,77.5,0
2026-08-14 06:30:00,VIX,14.56,14.56,14.53,14.53,0
2026-08-14 06:45:00,QQQ,733.36,733.68,733.2651,733.65,0
2026-08-14 06:45:00,TQQQ,77.52,77.6204,77.4983,77.62,0
2026-08-14 06:45:00,VIX,14.53,14.53,14.5,14.5,0
2026-08-14 07:00:00,QQQ,733.71,733.92,732.07,733.7744,0
2026-08-14 07:00:00,TQQQ,77.63,77.7,77.5999,77.65,0
2026-08-14 07:00:00,VIX,14.5,14.52,14.49,14.52,0
2026-08-14 07:15:00,QQQ,733.72,733.79,733.4982,733.6013,0
2026-08-14 07:15:00,TQQQ,77.64,77.66,77.57,77.61,0
2026-08-14 07:15:00,VIX,14.52,14.53,14.52,14.53,0
2026-08-14 07:30:00,QQQ,733.6,733.88,733.4,733.7085,0
2026-08-14 07:30:00,TQQQ,77.6,77.69,77.54,77.63,0
2026-08-14 07:30:00,VIX,14.53,14.53,14.51,14.52,0
2026-08-14 07:45:00,QQQ,733.671,734.1027,733.66,733.98,0
2026-08-14 07:45:00,TQQQ,77.64,77.759,77.6204,77.73,0
2026-08-14 07:45:00,VIX,14.51,14.53,14.51,14.53,0
2026-08-14 08:00:00,QQQ,733.99,734.33,731.521,733.38,0
2026-08-14 08:00:00,TQQQ,77.7469,77.84,77.32,77.54,0
2026-08-14 08:00:00,VIX,14.53,14.56,14.52,14.55,0
2026-08-14 08:15:00,QQQ,733.378,733.9,733.08,733.72,0
2026-08-14 08:15:00,TQQQ,77.5354,77.65,77.44,77.64,0
2026-08-14 08:15:00,VIX,14.55,14.55,14.52,14.53,0
2026-08-14 08:30:00,QQQ,733.765,734.355,733.597,734.0,0
2026-08-14 08:30:00,TQQQ,77.65,77.84,77.59,77.73,0
2026-08-14 08:30:00,VIX,14.5,14.53,14.48,14.53,0
2026-08-14 08:45:00,QQQ,734.0,734.33,732.07,734.05,0
2026-08-14 08:45:00,TQQQ,77.74,77.84,77.66,77.76,0
2026-08-14 08:45:00,VIX,14.53,14.53,14.51,14.52,0
2026-08-14 09:00:00,QQQ,734.0987,734.41,733.71,733.73,0
2026-08-14 09:00:00,TQQQ,77.77,77.86,77.647,77.65,0
2026-08-14 09:00:00,VIX,14.52,14.53,14.52,14.52,0
2026-08-14 09:15:00,QQQ,733.7,733.89,733.37,733.52,0
2026-08-14 09:15:00,TQQQ,77.65,77.7,77.52,77.55,0
2026-08-14 09:15:00,VIX,14.52,14.52,14.47,14.47,0
2026-08-14 09:30:00,QQQ,733.26001,734.090027,731.720093,733.900024,2383514
2026-08-14 09:30:00,TQQQ,77.565002,77.769997,77.029999,77.709999,7110269
2026-08-14 09:30:00,VIX,14.52,14.58,14.46,14.58,0
2026-08-14 09:45:00,QQQ,733.859985,734.390015,732.700012,733.049988,1035417
2026-08-14 09:45:00,TQQQ,77.695,77.849998,77.330002,77.459999,3077205
2026-08-14 09:45:00,VIX,14.59,14.61,14.56,14.6,0
2026-08-14 10:00:00,QQQ,732.950012,734.159973,732.640015,732.974976,758523
2026-08-14 10:00:00,TQQQ,77.400002,77.790001,77.300003,77.410004,1868569
2026-08-14 10:00:00,VIX,14.52,14.6,14.52,14.58,0
2026-08-14 10:15:00,QQQ,732.98999,733.11499,730.840027,731.460083,5946680
2026-08-14 10:15:00,TQQQ,77.415001,77.449997,76.735001,76.939903,2691314
2026-08-14 10:15:00,VIX,14.59,14.66,14.58,14.61,0
2026-08-14 10:30:00,QQQ,731.472107,731.840027,730.75,731.440002,819427
2026-08-14 10:30:00,TQQQ,76.93,77.059998,76.709999,76.925003,1688241
2026-08-14 10:30:00,VIX,14.6,14.6,14.52,14.53,0
2026-08-14 10:45:00,QQQ,731.390015,731.640015,730.599976,730.599976,489182
2026-08-14 10:45:00,TQQQ,76.9105,76.989998,76.669998,76.669998,1046229
2026-08-14 10:45:00,VIX,14.53,14.53,14.46,14.49,0
2026-08-14 11:00:00,QQQ,730.609985,731.049988,729.759888,729.804993,661035
2026-08-14 11:00:00,TQQQ,76.660004,76.809998,76.389999,76.404999,1548257
2026-08-14 11:00:00,VIX,14.5,14.51,14.46,14.51,0
2026-08-14 11:15:00,QQQ,729.804993,730.294983,728.419983,729.320129,1099879
2026-08-14 11:15:00,TQQQ,76.404999,76.559998,75.970001,76.254997,1878127
2026-08-14 11:15:00,VIX,14.51,14.57,14.49,14.54,0
2026-08-14 11:30:00,QQQ,729.369995,729.390015,728.320007,728.75,9791798
2026-08-14 11:30:00,TQQQ,76.264999,76.279999,75.940002,76.074997,1429633
2026-08-14 11:30:00,VIX,14.54,14.67,14.53,14.67,0
2026-08-14 11:45:00,QQQ,728.789978,729.380005,728.330017,729.224976,712959
2026-08-14 11:45:00,TQQQ,76.095001,76.269997,75.940002,76.224998,1163898
2026-08-14 11:45:00,VIX,14.67,14.72,14.56,14.56,0
2026-08-14 12:00:00,QQQ,729.219971,729.669983,728.859985,729.585022,748009
2026-08-14 12:00:00,TQQQ,76.224998,76.370003,76.110001,76.334999,1219724
2026-08-14 12:00:00,VIX,14.56,14.56,14.49,14.49,0
2026-08-14 12:15:00,QQQ,729.580017,730.215027,729.460022,730.070007,653338
2026-08-14 12:15:00,TQQQ,76.339996,76.539902,76.300102,76.495003,875927
2026-08-14 12:15:00,VIX,14.49,14.49,14.46,14.46,0
2026-08-14 12:30:00,QQQ,730.075012,730.099915,729.179993,729.25,543699
2026-08-14 12:30:00,TQQQ,76.495003,76.5,76.209999,76.239998,847811
2026-08-14 12:30:00,VIX,14.46,14.47,14.43,14.46,0
2026-08-14 12:45:00,QQQ,729.22998,729.460022,728.950012,729.02002,421082
2026-08-14 12:45:00,TQQQ,76.230103,76.300003,76.129997,76.160103,579434
2026-08-14 12:45:00,VIX,14.46,14.47,14.43,14.45,0
2026-08-14 13:00:00,QQQ,729.049988,729.538025,728.885986,729.27002,412480
2026-08-14 13:00:00,TQQQ,76.169998,76.32,76.124001,76.235001,538043
2026-08-14 13:00:00,VIX,14.45,14.5,14.43,14.44,0
2026-08-14 13:15:00,QQQ,729.265015,729.450012,728.76001,729.013123,565370
2026-08-14 13:15:00,TQQQ,76.240097,76.294998,76.080002,76.154999,766109
2026-08-14 13:15:00,VIX,14.43,14.45,14.33,14.33,0
2026-08-14 13:30:00,QQQ,728.97998,729.330017,728.830017,729.02002,392140
2026-08-14 13:30:00,TQQQ,76.18,76.260002,76.1036,76.146004,507283
2026-08-14 13:30:00,VIX,14.33,14.37,14.32,14.35,0
2026-08-14 13:45:00,QQQ,729.006287,729.599976,728.780029,729.544983,422087
2026-08-14 13:45:00,TQQQ,76.160004,76.349998,76.092003,76.324997,666537
2026-08-14 13:45:00,VIX,14.35,14.35,14.31,14.31,0
2026-08-14 14:00:00,QQQ,729.530029,729.799988,729.369995,729.47998,593056
2026-08-14 14:00:00,TQQQ,76.339996,76.400002,76.269997,76.309998,479093
2026-08-14 14:00:00,VIX,14.31,14.32,14.3,14.31,0
2026-08-14 14:15:00,QQQ,729.47998,729.799988,729.159973,729.179993,409021
2026-08-14 14:15:00,TQQQ,76.309998,76.410004,76.200104,76.214996,507071
2026-08-14 14:15:00,VIX,14.31,14.32,14.28,14.31,0
2026-08-14 14:30:00,QQQ,729.22998,729.744995,729.090027,729.669983,483657
2026-08-14 14:30:00,TQQQ,76.220001,76.385002,76.18,76.370102,404382
2026-08-14 14:30:00,VIX,14.31,14.32,14.3,14.32,0
2026-08-14 14:45:00,QQQ,729.674988,730.080017,729.450989,729.690002,519722
2026-08-14 14:45:00,TQQQ,76.370003,76.5,76.300201,76.375,688934
2026-08-14 14:45:00,VIX,14.32,14.35,14.32,14.35,0
2026-08-14 15:00:00,QQQ,729.700012,729.820007,729.409973,729.549988,461861
2026-08-14 15:00:00,TQQQ,76.375,76.417,76.279999,76.319901,546767
2026-08-14 15:00:00,VIX,14.35,14.42,14.35,14.37,0
2026-08-14 15:15:00,QQQ,729.549988,730.039978,729.400024,729.859985,18297982
2026-08-14 15:15:00,TQQQ,76.324997,76.479698,76.290001,76.43,499364
2026-08-14 15:15:00,VIX,14.37,14.39,14.32,14.33,0
2026-08-14 15:30:00,QQQ,729.859985,730.330017,729.76001,730.169983,1168944
2026-08-14 15:30:00,TQQQ,76.43,76.57,76.394302,76.525002,915248
2026-08-14 15:30:00,VIX,14.33,14.33,14.26,14.28,0
2026-08-14 15:45:00,QQQ,730.150024,731.119995,730.0,731.049988,2163328
2026-08-14 15:45:00,TQQQ,76.514999,76.815002,76.464996,76.790001,1909496
2026-08-14 15:45:00,VIX,14.28,14.32,14.18,14.27,0
2026-08-14 16:00:00,QQQ,731.04,731.24,730.72,730.7969,0
2026-08-14 16:00:00,TQQQ,76.78,76.85,76.69,76.7099,0
2026-08-14 16:00:00,VIX,14.26,14.27,14.23,14.25,0
2026-08-14 16:15:00,QQQ,731.07,731.07,730.6356,730.7101,0
2026-08-14 16:15:00,TQQQ,76.79,76.79,76.6529,76.6899,0
2026-08-14 16:30:00,QQQ,730.7367,731.04,730.6416,731.0,0
2026-08-14 16:30:00,TQQQ,76.6799,76.78,76.66,76.77,0
2026-08-14 16:45:00,QQQ,730.99,731.19,730.8815,731.16,0
2026-08-14 16:45:00,TQQQ,76.77,76.83,76.7481,76.82,0
2026-08-14 17:00:00,QQQ,731.15,731.25,730.7987,730.91,0
2026-08-14 17:00:00,TQQQ,76.79,76.83,76.71,76.74,0
2026-08-14 17:15:00,QQQ,730.82,731.07,730.81,730.9587,0
2026-08-14 17:15:00,TQQQ,76.7401,76.79,76.71,76.75,0
2026-08-14 17:30:00,QQQ,730.97,731.23,730.85,731.1163,0
2026-08-14 17:30:00,TQQQ,76.78,76.78,76.73,76.76,0
2026-08-14 17:45:00,QQQ,731.0568,731.14,730.93,731.0,0
2026-08-14 17:45:00,TQQQ,76.76,76.77,76.74,76.77,0
2026-08-14 18:00:00,QQQ,730.998,731.07,730.9025,731.07,0
2026-08-14 18:00:00,TQQQ,76.7699,76.79,76.75,76.77,0
2026-08-14 18:15:00,QQQ,731.0735,731.2,730.9,730.95,0
2026-08-14 18:15:00,TQQQ,76.77,76.79,76.76,76.77,0
2026-08-14 18:30:00,QQQ,730.9906,731.2,730.8635,730.94,0
2026-08-14 18:30:00,TQQQ,76.77,76.79,76.76,76.7701,0
2026-08-14 18:45:00,QQQ,730.9887,731.18,730.9,731.07,0
2026-08-14 18:45:00,TQQQ,76.78,76.8,76.76,76.7685,0
2026-08-14 19:00:00,QQQ,731.0657,731.1,730.9,731.0867,0
2026-08-14 19:00:00,TQQQ,76.77,76.78,76.76,76.78,0
2026-08-14 19:15:00,QQQ,731.03,731.1,730.95,730.9908,0
2026-08-14 19:15:00,TQQQ,76.78,76.78,76.71,76.74,0
2026-08-14 19:30:00,QQQ,731.01,731.05,730.91,730.93,0
2026-08-14 19:30:00,TQQQ,76.756,76.76,76.71,76.73,0
2026-08-14 19:45:00,QQQ,730.93,730.95,730.8012,730.85,0
2026-08-14 19:45:00,TQQQ,76.72,76.77,76.69,76.7202,0
