ts_et,symbol,open,high,low,close,volume
2026-07-17 03:15:00,VIX,18.01,18.030001,17.940001,17.940001,0
2026-07-17 03:30:00,VIX,17.940001,17.99,17.879999,17.9,0
2026-07-17 03:45:00,VIX,17.91,18.01,17.91,17.98,0
2026-07-17 04:00:00,QQQ,693.48,705.94,693.04,693.268,0
2026-07-17 04:00:00,TQQQ,66.95,70.74,66.8,66.86,0
2026-07-17 04:00:00,VIX,17.98,18.200001,17.9,18.190001,0
2026-07-17 04:15:00,QQQ,693.16,693.2149,690.9,691.6,0
2026-07-17 04:15:00,TQQQ,66.87,66.87,66.15,66.37,0
2026-07-17 04:15:00,VIX,18.190001,18.620001,18.190001,18.42,0
2026-07-17 04:30:00,QQQ,691.6677,691.81,690.32,691.0582,0
2026-07-17 04:30:00,TQQQ,66.37,66.4195,65.96,66.2,0
2026-07-17 04:30:00,VIX,18.440001,18.690001,18.42,18.620001,0
2026-07-17 04:45:00,QQQ,691.0,692.82,690.96,692.082,0
2026-07-17 04:45:00,TQQQ,66.2,66.73,66.17,66.49,0
2026-07-17 04:45:00,VIX,18.610001,18.610001,18.360001,18.440001,0
2026-07-17 05:00:00,QQQ,692.11,693.22,691.9,693.175,0
2026-07-17 05:00:00,TQQQ,66.5,66.84,66.44,66.83,0
2026-07-17 05:00:00,VIX,18.43,18.49,18.35,18.35,0
2026-07-17 05:15:00,QQQ,693.18,693.59,692.16,693.5899,0
2026-07-17 05:15:00,TQQQ,66.82,66.95,66.5295,66.94,0
2026-07-17 05:15:00,VIX,18.35,18.41,18.24,18.24,0
2026-07-17 05:30:00,QQQ,693.648,694.15,692.92,693.43,0
2026-07-17 05:30:00,TQQQ,66.95,67.13,66.75,66.9205,0
2026-07-17 05:30:00,VIX,18.23,18.48,18.23,18.48,0
2026-07-17 05:45:00,QQQ,693.4987,694.48,693.44,694.12,0
2026-07-17 05:45:00,TQQQ,66.92,67.229,66.92,67.11,0
2026-07-17 05:45:00,VIX,18.469999,18.469999,18.309999,18.309999,0
2026-07-17 06:00:00,QQQ,694.06,695.52,693.64,695.46,0
2026-07-17 06:00:00,TQQQ,67.12,67.55,66.97,67.52,0
2026-07-17 06:00:00,VIX,18.309999,18.35,18.120001,18.120001,0
2026-07-17 06:15:00,QQQ,695.51,695.95,694.38,695.56,0
